booklet_id,length
100001,30
100002,30
100003,30
100004,30
100005,30
100006,30
100007,30
100008,30
100009,30
100010,30
100011,30
100012,30
100013,30
100014,30
100015,30
100016,30
100017,30
100018,30
100019,30
100020,30
100021,30
100022,30
100023,30
100024,30
100025,29
100026,30
100027,30
100028,30
100029,30
100030,30
100031,30
100032,30
100033,30
100034,30
100035,30
100036,30
100037,30
100038,30
100039,30
100040,30
100041,30
100042,30
100043,30
100044,30
100045,30
100046,28
100047,29
100048,29
100049,28
100050,29
100051,30
100052,30
100053,30
100054,30
100055,30
100056,30
100057,30
100058,29
100059,30
100060,30
100061,30
100062,30
100063,30
100064,30
100065,30
100066,30
100067,30
100068,30
100069,30
100070,28
100071,31
100072,29
100073,30
100074,30
100075,30
100080,30
100081,30
100082,30
100083,30
100084,30
100085,31
100086,30
100087,30
100088,30
100089,30
100090,29
100091,31
100092,30
100093,30
100094,30
100100,30
100101,30
100102,30
100103,30
100104,30
100105,30
100106,30
100107,30
100108,30
100109,30
100110,30
100111,30
100112,30
100113,30
100114,30
100115,30
100116,30
100117,30
100118,29
100119,30
100120,30
100121,29
100122,30
100123,30
100124,30
100125,30
100126,30
100127,30
100128,30
100129,30
100130,30
100131,30
100132,30
100133,30
100134,30
100135,30
100136,30
100137,30
100138,30
100139,30
100140,30
100141,30
100142,30
100143,30
100144,30
100145,30
100146,30
100147,30
100148,30
100149,30
100150,30
100151,30
100152,30
100153,30
100154,30
100155,30
100156,30
100157,30
100158,30
100159,30
100160,30
100161,30
100162,30
100163,30
100164,30
100165,30
100166,30
100167,30
100168,30
100169,30
100170,30
100171,30
100172,30
100173,30
100174,30
100175,30
100176,30
100177,30
100178,30
100179,30
100180,30
100181,30
100182,30
100183,30
100184,30
100185,30
100186,30
100187,30
100188,30
100189,30
100190,30
100191,30
100192,30
100193,30
100194,30
100195,30
100196,30
100197,30
100198,30
100199,30
100200,30
100201,30
100202,30
100203,30
100204,30
100205,30
100206,30
100207,30
100208,30
100209,30
100210,30
100211,30
100212,30
100213,30
100214,30
100215,30
100216,30
100217,30
100218,30
100219,30
